,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
21,frozenset({'Lacing thread'}),frozenset({'Masking tape 1 inch'}),0.15384615384615385,0.13846153846153847,0.12307692307692308,0.8,5.777777777777778,1.0,0.10177514792899409,4.307692307692309,0.9772727272727272,0.7272727272727273,0.7678571428571429,0.8444444444444444
74,frozenset({'SS Square Nut M4'}),frozenset({'XT-60H Male Connectors'}),0.15384615384615385,0.13846153846153847,0.12307692307692308,0.8,5.777777777777778,1.0,0.10177514792899409,4.307692307692309,0.9772727272727272,0.7272727272727273,0.7678571428571429,0.8444444444444444
75,frozenset({'XT-60H Male Connectors'}),frozenset({'SS Square Nut M4'}),0.13846153846153847,0.15384615384615385,0.12307692307692308,0.8888888888888888,5.777777777777777,1.0,0.10177514792899409,7.615384615384612,0.9598214285714285,0.7272727272727273,0.8686868686868686,0.8444444444444444
20,frozenset({'Masking tape 1 inch'}),frozenset({'Lacing thread'}),0.13846153846153847,0.15384615384615385,0.12307692307692308,0.8888888888888888,5.777777777777777,1.0,0.10177514792899409,7.615384615384612,0.9598214285714285,0.7272727272727273,0.8686868686868686,0.8444444444444444
106,"frozenset({'SS Hex Nut M2.5', 'Nylon Washer M3'})",frozenset({'Nylon washer M2.5'}),0.12307692307692308,0.15384615384615385,0.1076923076923077,0.875,5.6875,1.0,0.08875739644970415,6.769230769230769,0.9398496240601504,0.6363636363636364,0.8522727272727273,0.7875
90,"frozenset({'Nylon Washer M3', 'Permabond 910 50 ml'})",frozenset({'Lacing thread'}),0.12307692307692308,0.15384615384615385,0.1076923076923077,0.875,5.6875,1.0,0.08875739644970415,6.769230769230769,0.9398496240601504,0.6363636363636364,0.8522727272727273,0.7875
33,frozenset({'XT-90 Male Connectors'}),frozenset({'Lacing thread'}),0.12307692307692308,0.15384615384615385,0.1076923076923077,0.875,5.6875,1.0,0.08875739644970415,6.769230769230769,0.9398496240601504,0.6363636363636364,0.8522727272727273,0.7875
95,"frozenset({'SS Hex Nut M2.5', 'Nylon Washer M3'})",frozenset({'Lacing thread'}),0.12307692307692308,0.15384615384615385,0.1076923076923077,0.875,5.6875,1.0,0.08875739644970415,6.769230769230769,0.9398496240601504,0.6363636363636364,0.8522727272727273,0.7875
98,frozenset({'Lacing thread'}),"frozenset({'SS Hex Nut M2.5', 'Nylon Washer M3'})",0.15384615384615385,0.12307692307692308,0.1076923076923077,0.7,5.687499999999999,1.0,0.08875739644970415,2.9230769230769225,0.9740259740259741,0.6363636363636364,0.6578947368421052,0.7875
111,frozenset({'Nylon washer M2.5'}),"frozenset({'SS Hex Nut M2.5', 'Nylon Washer M3'})",0.15384615384615385,0.12307692307692308,0.1076923076923077,0.7,5.687499999999999,1.0,0.08875739644970415,2.9230769230769225,0.9740259740259741,0.6363636363636364,0.6578947368421052,0.7875
32,frozenset({'Lacing thread'}),frozenset({'XT-90 Male Connectors'}),0.15384615384615385,0.12307692307692308,0.1076923076923077,0.7,5.687499999999999,1.0,0.08875739644970415,2.9230769230769225,0.9740259740259741,0.6363636363636364,0.6578947368421052,0.7875
91,frozenset({'Lacing thread'}),"frozenset({'Nylon Washer M3', 'Permabond 910 50 ml'})",0.15384615384615385,0.12307692307692308,0.1076923076923077,0.7,5.687499999999999,1.0,0.08875739644970415,2.9230769230769225,0.9740259740259741,0.6363636363636364,0.6578947368421052,0.7875
79,frozenset({'Masking tape 1 inch'}),"frozenset({'Lacing thread', 'Nylon Washer M3'})",0.13846153846153847,0.13846153846153847,0.1076923076923077,0.7777777777777778,5.617283950617284,1.0,0.0885207100591716,3.8769230769230774,0.9540816326530612,0.6363636363636364,0.742063492063492,0.7777777777777778
78,"frozenset({'Lacing thread', 'Nylon Washer M3'})",frozenset({'Masking tape 1 inch'}),0.13846153846153847,0.13846153846153847,0.1076923076923077,0.7777777777777778,5.617283950617284,1.0,0.0885207100591716,3.8769230769230774,0.9540816326530612,0.6363636363636364,0.742063492063492,0.7777777777777778
86,frozenset({'Nylon Washer M3'}),"frozenset({'Lacing thread', 'Nylon washer M2.5'})",0.18461538461538463,0.1076923076923077,0.1076923076923077,0.5833333333333334,5.416666666666667,1.0,0.08781065088757398,2.1415384615384614,1.0000000000000002,0.5833333333333334,0.5330459770114944,0.7916666666666667
34,frozenset({'Nylon Washer M3'}),frozenset({'MFJ Plastic; 3D059BLG3P'}),0.18461538461538463,0.1076923076923077,0.1076923076923077,0.5833333333333334,5.416666666666667,1.0,0.08781065088757398,2.1415384615384614,1.0000000000000002,0.5833333333333334,0.5330459770114944,0.7916666666666667
51,frozenset({'Nylon Washer M3'}),frozenset({'SS Square Nut; M3'}),0.18461538461538463,0.1076923076923077,0.1076923076923077,0.5833333333333334,5.416666666666667,1.0,0.08781065088757398,2.1415384615384614,1.0000000000000002,0.5833333333333334,0.5330459770114944,0.7916666666666667
92,frozenset({'Nylon Washer M3'}),"frozenset({'Lacing thread', 'Permabond 910 50 ml'})",0.18461538461538463,0.1076923076923077,0.1076923076923077,0.5833333333333334,5.416666666666667,1.0,0.08781065088757398,2.1415384615384614,1.0000000000000002,0.5833333333333334,0.5330459770114944,0.7916666666666667
110,frozenset({'Nylon Washer M3'}),"frozenset({'SS Hex Nut M2.5', 'Nylon washer M2.5'})",0.18461538461538463,0.1076923076923077,0.1076923076923077,0.5833333333333334,5.416666666666667,1.0,0.08781065088757398,2.1415384615384614,1.0000000000000002,0.5833333333333334,0.5330459770114944,0.7916666666666667
105,frozenset({'Nylon Washer M3'}),"frozenset({'SS Square Nut; M3', 'Lacing thread'})",0.18461538461538463,0.1076923076923077,0.1076923076923077,0.5833333333333334,5.416666666666667,1.0,0.08781065088757398,2.1415384615384614,1.0000000000000002,0.5833333333333334,0.5330459770114944,0.7916666666666667
